id,cycle,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
20,1,518.67,642.26,1588.38,1397.78,14.62,21.61,554.43,2388.07,9072.24,1.3,47.4,521.88,2388.06,8147.58,8.3923,0.03,393,2388,100,38.76,23.497,0.0011,-0.0005,100
20,2,518.67,642.23,1590.73,1405.88,14.62,21.61,553.62,2388.06,9059.5,1.3,47.32,522.03,2388.06,8151.74,8.4385,0.03,392,2388,100,38.9,23.424,-0.0001,-0.0003,100
20,3,518.67,642.21,1590.7,1401.31,14.62,21.6,554.24,2388.08,9064.83,1.3,47.19,521.8,2388.03,8146.37,8.4234,0.03,392,2388,100,38.96,23.446,-0.0015,0.0003,100
20,4,518.67,642.68,1588.91,1403.28,14.62,21.61,553.79,2388.06,9058.04,1.3,47.28,522.25,2388.06,8144.65,8.3955,0.03,391,2388,100,38.94,23.3412,-0.0022,0.0001,100
20,5,518.67,642.4,1588.43,1406.46,14.62,21.61,553.9,2388.06,9064.03,1.3,47.42,522.17,2388.04,8146.81,8.4371,0.03,393,2388,100,38.94,23.4452,-0.0064,-0.0001,100
20,6,518.67,642.31,1583.41,1410.11,14.62,21.61,554.59,2388.06,9065.79,1.3,47.21,521.51,2388,8144.26,8.4084,0.03,394,2388,100,39.11,23.268,0.0002,0.0005,100
20,7,518.67,642.51,1588.8,1403.14,14.62,21.61,553.54,2388.08,9056.7,1.3,47.23,522.33,2388.01,8143.49,8.384,0.03,391,2388,100,39.01,23.5032,0,-0.0001,100
20,8,518.67,642.14,1582.49,1409.85,14.62,21.61,553.79,2388.04,9062.01,1.3,47.35,522.21,2388.04,8143.8,8.4276,0.03,392,2388,100,38.91,23.2012,-0.0017,0.0003,100
20,9,518.67,642.62,1587.81,1401.31,14.62,21.61,553.45,2388,9058.59,1.3,47.31,521.94,2388.05,8145.42,8.4346,0.03,392,2388,100,39.07,23.3134,-0.0003,0.0005,100
20,10,518.67,642.72,1579.87,1397.6,14.62,21.61,554.07,2388.02,9066.99,1.3,47.49,522.15,2388.01,8143.67,8.4201,0.03,392,2388,100,39.17,23.3761,-0.0043,-0.0005,100
20,11,518.67,642.19,1583.08,1402.24,14.62,21.61,553.9,2388.05,9061.37,1.3,47.43,522.41,2388.06,8143.5,8.4352,0.03,392,2388,100,38.91,23.3079,0.0011,-0.0002,100
20,12,518.67,642.19,1583.4,1404.04,14.62,21.61,553.95,2388.05,9062.5,1.3,47.23,521.3,2388.03,8146.87,8.4181,0.03,393,2388,100,38.88,23.3532,-0.0002,-0.0003,100
20,13,518.67,642.35,1588.8,1405.92,14.62,21.61,554.42,2388.07,9059.61,1.3,47.33,522.21,2388.05,8137.99,8.4403,0.03,392,2388,100,39.05,23.3392,0.0006,0.0004,100
20,14,518.67,641.89,1587.07,1401.89,14.62,21.61,554.19,2387.98,9058.89,1.3,47.36,522.09,2388.01,8141.04,8.3952,0.03,394,2388,100,39.07,23.3884,-0.0017,0,100
20,15,518.67,642.01,1583.67,1401.97,14.62,21.61,554.19,2388.02,9068.81,1.3,47.39,521.67,2388.05,8144.22,8.4463,0.03,392,2388,100,38.98,23.3765,0.001,0,100
20,16,518.67,641.92,1587.33,1401.12,14.62,21.61,554.22,2388.01,9060.38,1.3,47.31,521.85,2388.05,8146.21,8.3903,0.03,393,2388,100,38.97,23.4072,-0.0036,-0.0002,100
20,17,518.67,642.31,1584.68,1399.36,14.62,21.61,553.72,2388,9059.83,1.3,47.41,521.42,2388.04,8145.03,8.443,0.03,392,2388,100,38.9,23.4197,-0.0036,0.0001,100
20,18,518.67,642.25,1589.1,1397.3,14.62,21.61,554.04,2388,9067.4,1.3,47.45,521.8,2388.06,8141.38,8.4176,0.03,392,2388,100,39.01,23.4773,-0.0007,0.0001,100
20,19,518.67,642.57,1589.54,1399.29,14.62,21.61,553.94,2388.01,9068.73,1.3,47.35,522.04,2388.04,8143.86,8.4173,0.03,393,2388,100,38.91,23.4434,0.0015,0,100
20,20,518.67,641.68,1584.73,1407.52,14.62,21.61,554.84,2388.01,9062.79,1.3,47.6,521.99,2388.1,8146.85,8.3964,0.03,392,2388,100,38.97,23.31,0.002,0.0001,100
20,21,518.67,642.08,1583.86,1401.08,14.62,21.61,554.41,2388.07,9062.32,1.3,47.37,521.83,2388.03,8139.83,8.4358,0.03,392,2388,100,38.96,23.3744,0.0015,0.0005,100
20,22,518.67,642.47,1593.2,1399.4,14.62,21.61,554.69,2388.01,9060.79,1.3,47.32,521.92,2388.05,8150.45,8.4481,0.03,391,2388,100,38.95,23.3418,0.0048,-0.0004,100
20,23,518.67,642.36,1588.14,1398.69,14.62,21.61,553.72,2387.96,9070.4,1.3,47.43,521.75,2388.07,8151.2,8.4006,0.03,391,2388,100,38.87,23.4336,-0.0006,-0.0005,100
20,24,518.67,642.46,1587.36,1399.21,14.62,21.61,553.85,2388.09,9061.89,1.3,47.55,521.78,2388,8140.11,8.4065,0.03,391,2388,100,38.91,23.4268,-0.0034,0.0004,100
20,25,518.67,642.81,1584.78,1401.12,14.62,21.61,554.02,2388,9066.97,1.3,47.46,522.13,2388.06,8143.48,8.4288,0.03,391,2388,100,39.01,23.3177,-0.0004,-0.0004,100
20,26,518.67,641.99,1588.34,1392.96,14.62,21.61,553.98,2388.02,9068.6,1.3,47.43,522.06,2388.08,8137.29,8.4166,0.03,390,2388,100,39.14,23.2545,0.0044,-0.0005,100
20,27,518.67,642.47,1583.57,1400.66,14.62,21.61,553.45,2388.06,9068.37,1.3,47.48,521.84,2388.06,8142.33,8.3973,0.03,393,2388,100,39.02,23.2371,-0.0015,-0.0003,100
20,28,518.67,642.85,1580.89,1399.73,14.62,21.61,553.83,2388.07,9070.14,1.3,47.34,522.06,2388.01,8141.41,8.4033,0.03,392,2388,100,38.76,23.2885,0.0007,0.0004,100
20,29,518.67,642.38,1585.58,1407.47,14.62,21.61,553.6,2388.04,9065.53,1.3,47.29,521.76,2388.02,8142.33,8.4299,0.03,392,2388,100,38.8,23.4058,0.0005,-0.0002,100
20,30,518.67,642.36,1585.83,1398.44,14.62,21.61,553.63,2387.99,9062.44,1.3,47.46,522.48,2388.06,8148.92,8.432,0.03,393,2388,100,39.05,23.3971,0.0012,0,100
20,31,518.67,642.22,1586.43,1399.32,14.62,21.61,553.79,2388.05,9055.02,1.3,47.43,522.44,2388.07,8141.56,8.406,0.03,392,2388,100,38.83,23.4251,-0.0007,0.0004,100
20,32,518.67,642.21,1592.6,1400.83,14.62,21.61,553.58,2388.01,9072.49,1.3,47.52,521.67,2388.04,8143.2,8.4231,0.03,393,2388,100,38.85,23.356,-0.004,-0.0001,100
20,33,518.67,642.59,1591.46,1396.11,14.62,21.61,553.37,2388.07,9058.41,1.3,47.31,522.61,2388.03,8142.61,8.4241,0.03,393,2388,100,38.99,23.2876,-0.0012,-0.0005,100
20,34,518.67,642.11,1586.73,1403.69,14.62,21.61,554.02,2388,9062.86,1.3,47.24,521.81,2388.03,8140.26,8.4478,0.03,392,2388,100,38.92,23.2906,0.0012,0.0003,100
20,35,518.67,641.99,1580.16,1403.36,14.62,21.61,554.23,2388.08,9057.35,1.3,47.26,521.84,2388.07,8143.29,8.4159,0.03,392,2388,100,38.96,23.3688,-0.0009,-0.0004,100
20,36,518.67,641.6,1589.87,1401.83,14.62,21.61,554.14,2388.04,9063.38,1.3,47.23,521.78,2388.07,8144.86,8.428,0.03,391,2388,100,39.02,23.474,-0.0003,0.0004,100
20,37,518.67,641.67,1589.81,1404.51,14.62,21.61,554.24,2388.01,9065.72,1.3,47.13,521.98,2388.08,8143.49,8.3965,0.03,394,2388,100,38.97,23.4184,-0.0006,-0.0003,100
20,38,518.67,642.23,1586.24,1403.12,14.62,21.61,554.24,2388.01,9067.53,1.3,47.36,522.32,2388.05,8144.46,8.4523,0.03,392,2388,100,38.74,23.341,-0.0024,-0.0004,100
20,39,518.67,642.25,1585.78,1402.46,14.62,21.61,553.9,2388.08,9067.5,1.3,47.36,522.09,2388.03,8144.7,8.4503,0.03,392,2388,100,38.86,23.4426,-0.0016,0.0003,100
20,40,518.67,642.22,1584.72,1402.01,14.62,21.61,553.6,2388.08,9062.39,1.3,47.34,522.44,2388.09,8141.29,8.4225,0.03,391,2388,100,39.01,23.4612,0.0028,0.0004,100
20,41,518.67,642.41,1590.81,1403.17,14.62,21.61,554.88,2388.06,9067.65,1.3,47.34,522.55,2388.01,8148.22,8.3978,0.03,393,2388,100,39.07,23.3047,-0.0026,0.0002,100
20,42,518.67,642.93,1587.19,1406.86,14.62,21.61,554.49,2388.06,9059.77,1.3,47.39,522.28,2388.07,8137.73,8.3924,0.03,392,2388,100,38.97,23.2815,-0.0008,-0.0001,100
20,43,518.67,642.2,1586.84,1395.66,14.62,21.61,553.62,2388.02,9061.67,1.3,47.35,521.8,2388.05,8144.45,8.4154,0.03,392,2388,100,38.93,23.4378,-0.0017,0.0004,100
20,44,518.67,642.24,1580.6,1405.38,14.62,21.61,553.6,2388.11,9062.74,1.3,47.48,521.72,2388.09,8142.79,8.4243,0.03,392,2388,100,38.97,23.3105,-0.0041,0.0001,100
20,45,518.67,642.6,1587.36,1404.2,14.62,21.61,554.02,2388.06,9058.43,1.3,47.32,522.4,2388.05,8141.89,8.4107,0.03,392,2388,100,39.02,23.4696,-0.0006,-0.0004,100
20,46,518.67,642.48,1582.37,1397.87,14.62,21.61,553.84,2388.05,9063.35,1.3,47.21,522.16,2388.04,8149.01,8.3992,0.03,394,2388,100,38.93,23.2716,0.0011,-0.0005,100
20,47,518.67,642.69,1586.44,1404.31,14.62,21.61,553.56,2388.09,9062.43,1.3,47.34,522.25,2388.1,8141.99,8.4513,0.03,392,2388,100,38.87,23.2534,0.0007,0.0002,100
