y (component 1),y (component 2),y (component 3),y (component 4),y (component 5),y (component 6),y (component 7),y (component 8),y (component 9),y (component 10),y (component 11),y (component 12),y (component 13),y (component 14),y (component 15),y (component 16),y (component 17),y (component 18),y (component 19),y (component 20),y (component 21),y (component 22),y (component 23),y (component 24),y (component 25),y (component 26),y (component 27),y (component 28),y (component 29),y (component 30),y (component 31),y (component 32),y (component 33),y (component 34),y (component 35),y (component 36),y (component 37),y (component 38),y (component 39),y (component 40),x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059594547,0.051241194,0.057677044,0.096645063,0.106382979,0.14057049,0.164599894,0.179373616,0.171767979,0.146570796,0.138674712,0.131193694,0.123926796,0.115724983,0.110833806,0.107482993,0.104953087,0.100607511,0.077437773,0.077458424,0.0815102,0.096172249,0.124035668,0.158125766,0.189206085,0.229280291,0.253355155,0.286991604,0.402287829,0.353124444,0.429018538,0.147530301,0.408247885,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058982873,0.050738007,0.057147897,0.095596645,0.105065856,0.138723579,0.161526232,0.176420964,0.169092466,0.144358407,0.136775059,0.129504505,0.122910077,0.115724983,0.111174135,0.108390023,0.106480471,0.101988218,0.078865198,0.078814172,0.083079479,0.097799043,0.125939285,0.160269498,0.191498229,0.231846861,0.256082924,0.290371824,0.401507381,0.35891045,0.430463045,0.141665581,0.40149605,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.028573925,0.017946998,0.016756328,0.038028974,0.02289767,0.025651549,0.028828829,0.049035115,0.049978596,0.030420354,0.029500503,0.028040541,0.026321735,0.022918085,0.02234827,0.022562358,0.026074624,0.036726804,0.018199661,0.018890094,0.020585249,0.024401914,0.03336339,0.047672519,0.064284226,0.107368196,0.151336607,0.223312616,0.206618205,0.44436532,0.362811973,0.014726965,0.739732168,0.976190476,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.026738902,0.016521302,0.015345269,0.036599314,0.02147923,0.024317669,0.02745098,0.047769693,0.04880137,0.02920354,0.02838306,0.026914414,0.024966109,0.02167007,0.021100397,0.021201814,0.024765437,0.035530191,0.017039879,0.017715112,0.019200591,0.022870813,0.031459774,0.045426705,0.061575328,0.103625281,0.146972177,0.218514884,0.202604469,0.442228948,0.364336731,0.012511404,0.717543565,0.976190476,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.072352324,0.058956726,0.058118,0.080346931,0.064842958,0.063513236,0.062215156,0.076030792,0.071061644,0.046460177,0.040674936,0.034346847,0.028129236,0.020762423,0.017016449,0.014172336,0.016255728,0.027337997,0.00820769,0.007863341,0.008400258,0.011100478,0.017533313,0.02960392,0.048968535,0.086621752,0.122749591,0.190600807,0.223230611,0.421755385,0.244362411,0.209696338,0.723230795,0.988095238,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.063876267,0.05115733,0.050092601,0.071768967,0.056028369,0.054996922,0.053736089,0.06801645,0.063570205,0.039159292,0.033746787,0.028040541,0.022480795,0.015316542,0.012251843,0.009863946,0.01221907,0.024116348,0.005174413,0.004880694,0.0052617,0.007464115,0.013225128,0.024193548,0.041779537,0.077317934,0.111729405,0.176861847,0.206060741,0.423357664,0.246930423,0.205134889,0.724463495,0.988095238,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170657113,0.155484737,0.163418291,0.217117804,0.241641337,0.270777755,0.28627451,0.287356322,0.265517979,0.226106195,0.198346184,0.172522523,0.1503615,0.130701157,0.113896767,0.100680272,0.094152302,0.092231222,0.070925149,0.070679682,0.071817594,0.077416268,0.097184651,0.13280931,0.173577829,0.255587638,0.322858702,0.409333769,0.456696249,0.306747374,0.277586069,0.249967418,0.605199753,0.976190476,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371111499,0.341747736,0.332657201,0.418699962,0.493617021,0.521547301,0.53290938,0.536433618,0.518193493,0.488606195,0.48452341,0.481644144,0.468255761,0.45280236,0.456381168,0.459750567,0.448396247,0.396170839,0.368543135,0.364967462,0.360749562,0.373588517,0.419396854,0.500714577,0.611481559,0.749224682,0.825859247,0.896303566,0.731637158,0.413031868,0.37059626,0.038185846,0.537709419,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37757777,0.347869842,0.339800688,0.425752955,0.499392097,0.527395855,0.539162692,0.54276073,0.525042808,0.495464602,0.491451559,0.488738739,0.475033891,0.460063535,0.463074305,0.466439909,0.45472398,0.401325479,0.373628334,0.370300072,0.366195883,0.379425837,0.425809037,0.508064516,0.619608252,0.757886857,0.834151664,0.902627849,0.736096865,0.413476945,0.370034508,0.037794865,0.541183392,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371810556,0.342502516,0.33477379,0.414220358,0.476089159,0.496716602,0.5054584,0.50880523,0.492829623,0.465597345,0.463515477,0.461711712,0.45018075,0.439528024,0.445036869,0.453514739,0.443923194,0.392488954,0.3657775,0.36406363,0.360749562,0.373875598,0.420599138,0.49918334,0.586997291,0.72409368,0.805346427,0.870243158,0.722048789,0.430567919,0.363855228,0.021243321,0.62934947,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
